vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_forCodigo,ordenPartidos,votVotosFormula,votPorcenVotosFormula
"02","006","999","0137",5,997,2.45000005e+00
"02","006","999","0138",3,8481,2.07999992e+01
"02","007","999","0131",2,42199,2.39599991e+01
"02","007","999","0132",5,8247,4.67999983e+00
"02","007","999","0133",6,2316,1.30999994e+00
"02","007","999","0135",1,79469,4.51199989e+01
"02","007","999","0137",4,8527,4.84000015e+00
"02","007","999","0138",3,35369,2.00799999e+01
"02","008","999","0131",2,7408,2.61700001e+01
"02","008","999","0132",5,455,1.61000001e+00
"02","008","999","0133",6,423,1.49000001e+00
"02","008","999","0135",1,13209,4.66699982e+01
"02","008","999","0137",4,526,1.86000001e+00
"02","008","999","0138",3,6283,2.22000008e+01
"02","009","999","0131",1,8121,3.85999985e+01
"02","009","999","0132",5,328,1.55999994e+00
"02","009","999","0133",6,189,8.99999976e-01
"02","009","999","0135",2,6994,3.32400017e+01
"02","009","999","0137",4,584,2.77999997e+00
"02","009","999","0138",3,4823,2.29200001e+01
"02","010","999","0131",2,6659,3.39000015e+01
"02","010","999","0132",4,555,2.82999992e+00
"02","010","999","0133",6,189,9.59999979e-01
"02","010","999","0135",1,7825,3.98300018e+01
"02","010","999","0137",5,310,1.58000004e+00
"02","010","999","0138",3,4106,2.08999996e+01
"02","011","999","0131",1,83029,4.28600006e+01
"02","011","999","0132",5,5137,2.65000010e+00
"02","011","999","0133",6,1912,9.90000010e-01
"02","011","999","0135",2,49341,2.54699993e+01
"02","011","999","0137",4,8671,4.48000002e+00
"02","011","999","0138",3,45621,2.35499992e+01
"02","012","999","0131",1,20525,3.52900009e+01
"02","012","999","0132",5,1835,3.16000009e+00
"02","012","999","0133",6,617,1.05999994e+00
"02","012","999","0135",2,18232,3.13500004e+01
"02","012","999","0137",4,2939,5.05000019e+00
"02","012","999","0138",3,14011,2.40900002e+01
"02","013","999","0131",2,8179,3.48800011e+01
"02","013","999","0132",4,473,2.01999998e+00
"02","013","999","0133",6,271,1.15999997e+00
"02","013","999","0135",1,9993,4.26100006e+01
"02","013","999","0137",5,431,1.84000003e+00
"02","013","999","0138",3,4105,1.75000000e+01
"02","014","999","0131",2,10434,3.69099998e+01
"02","014","999","0132",4,483,1.71000004e+00
"02","014","999","0133",6,319,1.13000000e+00
"02","014","999","0135",1,12478,4.41500015e+01
"02","014","999","0137",5,477,1.69000006e+00
"02","014","999","0138",3,4074,1.44099998e+01
"02","015","999","0131",2,6039,3.67799988e+01
"02","015","999","0132",5,255,1.54999995e+00
"02","015","999","0133",6,149,9.10000026e-01
"02","015","999","0135",1,6878,4.18899994e+01
"02","015","999","0137",4,382,2.32999992e+00
"02","015","999","0138",3,2715,1.65400009e+01
"02","016","999","0131",2,19062,3.31199989e+01
"02","016","999","0132",5,1258,2.19000006e+00
"02","016","999","0133",6,584,1.00999999e+00
"02","016","999","0135",1,22238,3.86399994e+01
"02","016","999","0137",4,1954,3.39000010e+00
"02","016","999","0138",3,12460,2.16499996e+01
"02","017","999","0131",1,13109,4.11399994e+01
"02","017","999","0132",5,578,1.80999994e+00
"02","017","999","0133",6,301,9.39999998e-01
"02","017","999","0135",2,9820,3.08099995e+01
"02","017","999","0137",4,1129,3.53999996e+00
"02","017","999","0138",3,6931,2.17500000e+01
"02","018","999","0131",2,2751,3.01399994e+01
"02","018","999","0132",4,463,5.07000017e+00
"02","018","999","0133",6,96,1.04999995e+00
"02","018","999","0135",1,3533,3.87099991e+01
"02","018","999","0137",5,152,1.66999996e+00
"02","018","999","0138",3,2132,2.33600006e+01
"02","019","999","0131",2,4782,3.27200012e+01
"02","019","999","0132",5,312,2.14000010e+00
"02","019","999","0133",6,161,1.10000002e+00
"02","019","999","0135",1,6379,4.36500015e+01
"02","019","999","0137",4,348,2.38000011e+00
"02","019","999","0138",3,2631,1.80000000e+01
"02","020","999","0131",2,3297,3.86899986e+01
"02","020","999","0132",5,96,1.13000000e+00
"02","020","999","0133",6,58,6.80000007e-01
"02","020","999","0135",1,3886,4.55999985e+01
"02","020","999","0137",4,136,1.60000002e+00
"02","020","999","0138",3,1049,1.23100004e+01
"02","021","999","0131",1,4264,4.27900009e+01
"02","021","999","0132",5,93,9.30000007e-01
"02","021","999","0133",6,71,7.09999979e-01
"02","021","999","0135",2,3746,3.75999985e+01
"02","021","999","0137",4,116,1.15999997e+00
"02","021","999","0138",3,1674,1.67999992e+01
"02","022","999","0131",1,6946,3.68600006e+01
"02","022","999","0132",4,409,2.17000008e+00
"02","022","999","0133",6,137,7.30000019e-01
"02","022","999","0135",2,6866,3.64399986e+01
"02","022","999","0137",5,345,1.83000004e+00
"02","022","999","0138",3,4140,2.19699993e+01
"02","023","999","0131",2,2341,4.10800018e+01
"02","023","999","0132",4,95,1.66999996e+00
"02","023","999","0133",6,51,8.89999986e-01
"02","023","999","0135",1,2357,4.13600006e+01
"02","023","999","0137",5,78,1.37000000e+00
"02","023","999","0138",3,777,1.36300001e+01
"02","024","999","0131",1,6200,3.98100014e+01
"02","024","999","0132",4,651,4.17999983e+00
"02","024","999","0133",6,246,1.58000004e+00
"02","024","999","0135",2,5341,3.42900009e+01
"02","024","999","0137",5,428,2.75000000e+00
"02","024","999","0138",3,2708,1.73899994e+01
"02","025","999","0131",2,3270,3.06200008e+01
"02","025","999","0132",4,284,2.66000009e+00
"02","025","999","0133",6,99,9.30000007e-01
"02","025","999","0135",1,5228,4.89599991e+01
"02","025","999","0137",5,198,1.85000002e+00
"02","025","999","0138",3,1599,1.49700003e+01
"02","026","999","0131",2,4729,3.24900017e+01
"02","026","999","0132",4,366,2.50999999e+00
"02","026","999","0133",6,170,1.16999996e+00
"02","026","999","0135",1,6540,4.49300003e+01
"02","026","999","0137",5,327,2.25000000e+00
"02","026","999","0138",3,2424,1.66499996e+01
"02","027","999","0131",3,7347,2.05799999e+01
"02","027","999","0132",4,1000,2.79999995e+00
"02","027","999","0133",6,477,1.34000003e+00
"02","027","999","0135",1,18321,5.13100014e+01
"02","027","999","0137",5,818,2.28999996e+00
"02","027","999","0138",2,7745,2.16900005e+01
"02","028","999","0131",2,7126,2.90499992e+01
"02","028","999","0132",4,654,2.67000008e+00
"02","028","999","0133",6,274,1.12000000e+00
"02","028","999","0135",1,10654,4.34399986e+01
"02","028","999","0137",5,575,2.33999991e+00
"02","028","999","0138",3,5243,2.13799992e+01
"02","029","999","0131",2,12428,3.84700012e+01
"02","029","999","0132",4,754,2.32999992e+00
"02","029","999","0133",6,407,1.25999999e+00
"02","029","999","0135",1,12510,3.87200012e+01
"02","029","999","0137",5,695,2.15000010e+00
"02","029","999","0138",3,5515,1.70699997e+01
"02","030","999","0131",2,6808,2.73799992e+01
"02","030","999","0132",4,791,3.18000007e+00
"02","030","999","0133",6,242,9.70000029e-01
"02","030","999","0135",1,10428,4.19300003e+01
"02","030","999","0137",5,587,2.35999990e+00
"02","030","999","0138",3,6013,2.41800003e+01
"02","031","999","0131",1,17772,3.91800003e+01
