sub_votproCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_codFormula,vot_parCodigo,votVotosPartido,votPorcenVotos
"02","026","999","0132","0132",337,2.53999996e+00
"02","026","999","0137","0137",292,2.20000005e+00
"02","026","999","0138","0138",1628,1.22799997e+01
"02","026","999","0145","0145",6823,5.14599991e+01
"02","027","999","0131","0131",6263,1.86700001e+01
"02","027","999","0132","0132",956,2.84999990e+00
"02","027","999","0137","0137",905,2.70000005e+00
"02","027","999","0138","0138",5503,1.63999996e+01
"02","027","999","0145","0145",19924,5.93800011e+01
"02","028","999","0131","0131",6422,2.78700008e+01
"02","028","999","0132","0132",438,1.89999998e+00
"02","028","999","0137","0137",498,2.16000009e+00
"02","028","999","0138","0138",3332,1.44600000e+01
"02","028","999","0145","0145",12355,5.36100006e+01
"02","029","999","0131","0131",11852,3.77299995e+01
"02","029","999","0132","0132",531,1.69000006e+00
"02","029","999","0137","0137",577,1.84000003e+00
"02","029","999","0138","0138",3901,1.24200001e+01
"02","029","999","0145","0145",14548,4.63199997e+01
"02","030","999","0131","0131",6210,2.65100002e+01
"02","030","999","0132","0132",503,2.15000010e+00
"02","030","999","0137","0137",482,2.05999994e+00
"02","030","999","0138","0138",4818,2.05699997e+01
"02","030","999","0145","0145",11409,4.87099991e+01
"02","031","999","0131","0131",17088,3.91899986e+01
"02","031","999","0132","0132",506,1.15999997e+00
"02","031","999","0137","0137",940,2.16000009e+00
"02","031","999","0138","0138",11888,2.72700005e+01
"02","031","999","0145","0145",13177,3.02199993e+01
"02","032","999","0131","0131",4239,3.71399994e+01
"02","032","999","0132","0132",57,5.00000000e-01
"02","032","999","0137","0137",76,6.70000017e-01
"02","032","999","0138","0138",1028,9.01000023e+00
"02","032","999","0145","0145",6015,5.26899986e+01
"02","033","999","0131","0131",4448,2.60599995e+01
"02","033","999","0132","0132",169,9.90000010e-01
"02","033","999","0137","0137",192,1.12000000e+00
"02","033","999","0138","0138",3198,1.87399998e+01
"02","033","999","0145","0145",9061,5.30900002e+01
"02","034","999","0131","0131",14257,3.88199997e+01
"02","034","999","0132","0132",868,2.35999990e+00
"02","034","999","0137","0137",2271,6.17999983e+00
"02","034","999","0138","0138",6994,1.90499992e+01
"02","034","999","0145","0145",12332,3.35800018e+01
"02","035","999","0131","0131",42495,3.58400002e+01
"02","035","999","0132","0132",2914,2.46000004e+00
"02","035","999","0137","0137",5157,4.34999990e+00
"02","035","999","0138","0138",24948,2.10400009e+01
"02","035","999","0145","0145",43071,3.63199997e+01
"02","036","999","0131","0131",63941,4.01300011e+01
"02","036","999","0132","0132",3185,2.00000000e+00
"02","036","999","0137","0137",6709,4.21000004e+00
"02","036","999","0138","0138",30020,1.88400002e+01
"02","036","999","0145","0145",55468,3.48100014e+01
"02","037","999","0131","0131",5692,3.26699982e+01
"02","037","999","0132","0132",397,2.27999997e+00
"02","037","999","0137","0137",375,2.15000010e+00
"02","037","999","0138","0138",3698,2.12299995e+01
"02","037","999","0145","0145",7260,4.16699982e+01
"02","038","999","0131","0131",93712,4.71699982e+01
"02","038","999","0132","0132",3814,1.91999996e+00
"02","038","999","0137","0137",8271,4.15999985e+00
"02","038","999","0138","0138",44052,2.21700001e+01
"02","038","999","0145","0145",48835,2.45799999e+01
"02","039","999","0131","0131",6607,2.79200001e+01
"02","039","999","0132","0132",556,2.34999990e+00
"02","039","999","0137","0137",577,2.44000006e+00
"02","039","999","0138","0138",6306,2.66499996e+01
"02","039","999","0145","0145",9618,4.06399994e+01
"02","040","999","0131","0131",1743,3.04599991e+01
"02","040","999","0132","0132",23,4.00000006e-01
"02","040","999","0137","0137",41,7.20000029e-01
"02","040","999","0138","0138",605,1.05699997e+01
"02","040","999","0145","0145",3310,5.78499985e+01
"02","041","999","0131","0131",4013,3.50900002e+01
"02","041","999","0132","0132",84,7.30000019e-01
"02","041","999","0137","0137",91,8.00000012e-01
"02","041","999","0138","0138",925,8.09000015e+00
"02","041","999","0145","0145",6324,5.52900009e+01
"02","042","999","0131","0131",4289,3.58400002e+01
"02","042","999","0132","0132",92,7.69999981e-01
"02","042","999","0137","0137",163,1.36000001e+00
"02","042","999","0138","0138",1504,1.25699997e+01
"02","042","999","0145","0145",5918,4.94599991e+01
"02","043","999","0131","0131",515,2.67800007e+01
"02","043","999","0132","0132",18,9.39999998e-01
"02","043","999","0137","0137",23,1.20000005e+00
"02","043","999","0138","0138",261,1.35699997e+01
"02","043","999","0145","0145",1106,5.75099983e+01
"02","044","999","0131","0131",2748,3.92700005e+01
"02","044","999","0132","0132",49,6.99999988e-01
"02","044","999","0137","0137",71,1.00999999e+00
"02","044","999","0138","0138",524,7.48999977e+00
"02","044","999","0145","0145",3606,5.15299988e+01
"02","045","999","0131","0131",3177,3.57900009e+01
"02","045","999","0132","0132",71,8.00000012e-01
"02","045","999","0137","0137",139,1.57000005e+00
"02","045","999","0138","0138",2287,2.57600002e+01
"02","045","999","0145","0145",3203,3.60800018e+01
"02","046","999","0131","0131",462,1.71299992e+01
"02","046","999","0132","0132",23,8.50000024e-01
"02","046","999","0137","0137",27,1.00000000e+00
"02","046","999","0138","0138",876,3.24799995e+01
"02","046","999","0145","0145",1309,4.85400009e+01
"02","047","999","0131","0131",4027,3.30400009e+01
"02","047","999","0132","0132",96,7.90000021e-01
"02","047","999","0137","0137",248,2.02999997e+00
"02","047","999","0138","0138",2319,1.90300007e+01
"02","047","999","0145","0145",5497,4.51100006e+01
"02","048","999","0131","0131",3104,3.88100014e+01
"02","048","999","0132","0132",89,1.11000001e+00
"02","048","999","0137","0137",88,1.10000002e+00
"02","048","999","0138","0138",1075,1.34399996e+01
