sub_votproCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_codFormula,vot_parCodigo,votVotosPartido,votPorcenVotos
"02","005","999","0138","0138",2001,1.62600002e+01
"02","006","999","0131","0131",12730,3.12199993e+01
"02","006","999","0132","0132",2214,5.42999983e+00
"02","006","999","0133","0133",404,9.90000010e-01
"02","006","999","0135","0135",15948,3.91100006e+01
"02","006","999","0137","0137",997,2.45000005e+00
"02","006","999","0138","0138",8481,2.07999992e+01
"02","007","999","0131","0131",42199,2.39599991e+01
"02","007","999","0132","0132",8247,4.67999983e+00
"02","007","999","0133","0133",2316,1.30999994e+00
"02","007","999","0135","0135",79469,4.51199989e+01
"02","007","999","0137","0137",8527,4.84000015e+00
"02","007","999","0138","0138",35369,2.00799999e+01
"02","008","999","0131","0131",7408,2.61700001e+01
"02","008","999","0132","0132",455,1.61000001e+00
"02","008","999","0133","0133",423,1.49000001e+00
"02","008","999","0135","0135",13209,4.66699982e+01
"02","008","999","0137","0137",526,1.86000001e+00
"02","008","999","0138","0138",6283,2.22000008e+01
"02","009","999","0131","0131",8121,3.85999985e+01
"02","009","999","0132","0132",328,1.55999994e+00
"02","009","999","0133","0133",189,8.99999976e-01
"02","009","999","0135","0135",6994,3.32400017e+01
"02","009","999","0137","0137",584,2.77999997e+00
"02","009","999","0138","0138",4823,2.29200001e+01
"02","010","999","0131","0131",6659,3.39000015e+01
"02","010","999","0132","0132",555,2.82999992e+00
"02","010","999","0133","0133",189,9.59999979e-01
"02","010","999","0135","0135",7825,3.98300018e+01
"02","010","999","0137","0137",310,1.58000004e+00
"02","010","999","0138","0138",4106,2.08999996e+01
"02","011","999","0131","0131",83029,4.28600006e+01
"02","011","999","0132","0132",5137,2.65000010e+00
"02","011","999","0133","0133",1912,9.90000010e-01
"02","011","999","0135","0135",49341,2.54699993e+01
"02","011","999","0137","0137",8671,4.48000002e+00
"02","011","999","0138","0138",45621,2.35499992e+01
"02","012","999","0131","0131",20525,3.52900009e+01
"02","012","999","0132","0132",1835,3.16000009e+00
"02","012","999","0133","0133",617,1.05999994e+00
"02","012","999","0135","0135",18232,3.13500004e+01
"02","012","999","0137","0137",2939,5.05000019e+00
"02","012","999","0138","0138",14011,2.40900002e+01
"02","013","999","0131","0131",8179,3.48800011e+01
"02","013","999","0132","0132",473,2.01999998e+00
"02","013","999","0133","0133",271,1.15999997e+00
"02","013","999","0135","0135",9993,4.26100006e+01
"02","013","999","0137","0137",431,1.84000003e+00
"02","013","999","0138","0138",4105,1.75000000e+01
"02","014","999","0131","0131",10434,3.69099998e+01
"02","014","999","0132","0132",483,1.71000004e+00
"02","014","999","0133","0133",319,1.13000000e+00
"02","014","999","0135","0135",12478,4.41500015e+01
"02","014","999","0137","0137",477,1.69000006e+00
"02","014","999","0138","0138",4074,1.44099998e+01
"02","015","999","0131","0131",6039,3.67799988e+01
"02","015","999","0132","0132",255,1.54999995e+00
"02","015","999","0133","0133",149,9.10000026e-01
"02","015","999","0135","0135",6878,4.18899994e+01
"02","015","999","0137","0137",382,2.32999992e+00
"02","015","999","0138","0138",2715,1.65400009e+01
"02","016","999","0131","0131",19062,3.31199989e+01
"02","016","999","0132","0132",1258,2.19000006e+00
"02","016","999","0133","0133",584,1.00999999e+00
"02","016","999","0135","0135",22238,3.86399994e+01
"02","016","999","0137","0137",1954,3.39000010e+00
"02","016","999","0138","0138",12460,2.16499996e+01
"02","017","999","0131","0131",13109,4.11399994e+01
"02","017","999","0132","0132",578,1.80999994e+00
"02","017","999","0133","0133",301,9.39999998e-01
"02","017","999","0135","0135",9820,3.08099995e+01
"02","017","999","0137","0137",1129,3.53999996e+00
"02","017","999","0138","0138",6931,2.17500000e+01
"02","018","999","0131","0131",2751,3.01399994e+01
"02","018","999","0132","0132",463,5.07000017e+00
"02","018","999","0133","0133",96,1.04999995e+00
"02","018","999","0135","0135",3533,3.87099991e+01
"02","018","999","0137","0137",152,1.66999996e+00
"02","018","999","0138","0138",2132,2.33600006e+01
"02","019","999","0131","0131",4782,3.27200012e+01
"02","019","999","0132","0132",312,2.14000010e+00
"02","019","999","0133","0133",161,1.10000002e+00
"02","019","999","0135","0135",6379,4.36500015e+01
"02","019","999","0137","0137",348,2.38000011e+00
"02","019","999","0138","0138",2631,1.80000000e+01
"02","020","999","0131","0131",3297,3.86899986e+01
"02","020","999","0132","0132",96,1.13000000e+00
"02","020","999","0133","0133",58,6.80000007e-01
"02","020","999","0135","0135",3886,4.55999985e+01
"02","020","999","0137","0137",136,1.60000002e+00
"02","020","999","0138","0138",1049,1.23100004e+01
"02","021","999","0131","0131",4264,4.27900009e+01
"02","021","999","0132","0132",93,9.30000007e-01
"02","021","999","0133","0133",71,7.09999979e-01
"02","021","999","0135","0135",3746,3.75999985e+01
"02","021","999","0137","0137",116,1.15999997e+00
"02","021","999","0138","0138",1674,1.67999992e+01
"02","022","999","0131","0131",6946,3.68600006e+01
"02","022","999","0132","0132",409,2.17000008e+00
"02","022","999","0133","0133",137,7.30000019e-01
"02","022","999","0135","0135",6866,3.64399986e+01
"02","022","999","0137","0137",345,1.83000004e+00
"02","022","999","0138","0138",4140,2.19699993e+01
"02","023","999","0131","0131",2341,4.10800018e+01
"02","023","999","0132","0132",95,1.66999996e+00
"02","023","999","0133","0133",51,8.89999986e-01
"02","023","999","0135","0135",2357,4.13600006e+01
"02","023","999","0137","0137",78,1.37000000e+00
"02","023","999","0138","0138",777,1.36300001e+01
"02","024","999","0131","0131",6200,3.98100014e+01
"02","024","999","0132","0132",651,4.17999983e+00
"02","024","999","0133","0133",246,1.58000004e+00
"02","024","999","0135","0135",5341,3.42900009e+01
"02","024","999","0137","0137",428,2.75000000e+00
"02","024","999","0138","0138",2708,1.73899994e+01
"02","025","999","0131","0131",3270,3.06200008e+01
"02","025","999","0132","0132",284,2.66000009e+00
"02","025","999","0133","0133",99,9.30000007e-01
"02","025","999","0135","0135",5228,4.89599991e+01
"02","025","999","0137","0137",198,1.85000002e+00
"02","025","999","0138","0138",1599,1.49700003e+01
"02","026","999","0131","0131",4729,3.24900017e+01
"02","026","999","0132","0132",366,2.50999999e+00
"02","026","999","0133","0133",170,1.16999996e+00
"02","026","999","0135","0135",6540,4.49300003e+01
"02","026","999","0137","0137",327,2.25000000e+00
"02","026","999","0138","0138",2424,1.66499996e+01
"02","027","999","0131","0131",7347,2.05799999e+01
"02","027","999","0132","0132",1000,2.79999995e+00
"02","027","999","0133","0133",477,1.34000003e+00
"02","027","999","0135","0135",18321,5.13100014e+01
"02","027","999","0137","0137",818,2.28999996e+00
"02","027","999","0138","0138",7745,2.16900005e+01
"02","028","999","0131","0131",7126,2.90499992e+01
"02","028","999","0132","0132",654,2.67000008e+00
"02","028","999","0133","0133",274,1.12000000e+00
"02","028","999","0135","0135",10654,4.34399986e+01
"02","028","999","0137","0137",575,2.33999991e+00
"02","028","999","0138","0138",5243,2.13799992e+01
"02","029","999","0131","0131",12428,3.84700012e+01
"02","029","999","0132","0132",754,2.32999992e+00
"02","029","999","0133","0133",407,1.25999999e+00
"02","029","999","0135","0135",12510,3.87200012e+01
"02","029","999","0137","0137",695,2.15000010e+00
"02","029","999","0138","0138",5515,1.70699997e+01
"02","030","999","0131","0131",6808,2.73799992e+01
"02","030","999","0132","0132",791,3.18000007e+00
"02","030","999","0133","0133",242,9.70000029e-01
"02","030","999","0135","0135",10428,4.19300003e+01
"02","030","999","0137","0137",587,2.35999990e+00
"02","030","999","0138","0138",6013,2.41800003e+01
"02","031","999","0131","0131",17772,3.91800003e+01
"02","031","999","0132","0132",799,1.75999999e+00
"02","031","999","0133","0133",312,6.89999998e-01
"02","031","999","0135","0135",12675,2.79400005e+01
"02","031","999","0137","0137",1279,2.81999993e+00
"02","031","999","0138","0138",12520,2.76000004e+01
"02","032","999","0131","0131",4377,3.69300003e+01
"02","032","999","0132","0132",138,1.15999997e+00
"02","032","999","0133","0133",79,6.70000017e-01
"02","032","999","0135","0135",5436,4.58699989e+01
"02","032","999","0137","0137",104,8.79999995e-01
"02","032","999","0138","0138",1717,1.44899998e+01
"02","033","999","0131","0131",4840,2.72700005e+01
"02","033","999","0132","0132",316,1.77999997e+00
"02","033","999","0133","0133",87,4.90000010e-01
"02","033","999","0135","0135",8067,4.54500008e+01
"02","033","999","0137","0137",259,1.46000004e+00
"02","033","999","0138","0138",4181,2.35499992e+01
"02","034","999","0131","0131",15845,4.06500015e+01
"02","034","999","0132","0132",1174,3.00999999e+00
"02","034","999","0133","0133",376,9.59999979e-01
"02","034","999","0135","0135",10359,2.65799999e+01
"02","034","999","0137","0137",2332,5.98000002e+00
"02","034","999","0138","0138",8893,2.28099995e+01
"02","035","999","0131","0131",47294,3.73600006e+01
"02","035","999","0132","0132",3423,2.70000005e+00
"02","035","999","0133","0133",1633,1.28999996e+00
"02","035","999","0135","0135",39439,3.11599998e+01
"02","035","999","0137","0137",5109,4.03999996e+00
"02","035","999","0138","0138",29687,2.34500008e+01
"02","036","999","0131","0131",70068,4.21399994e+01
"02","036","999","0132","0132",3952,2.38000011e+00
"02","036","999","0133","0133",1683,1.00999999e+00
"02","036","999","0135","0135",47836,2.87700005e+01
"02","036","999","0137","0137",6879,4.13999987e+00
"02","036","999","0138","0138",35865,2.15699997e+01
"02","037","999","0131","0131",6239,3.44599991e+01
"02","037","999","0132","0132",447,2.47000003e+00
"02","037","999","0133","0133",204,1.13000000e+00
"02","037","999","0135","0135",6660,3.67799988e+01
"02","037","999","0137","0137",395,2.18000007e+00
"02","037","999","0138","0138",4161,2.29799995e+01
"02","038","999","0131","0131",109286,5.05800018e+01
"02","038","999","0132","0132",4233,1.96000004e+00
"02","038","999","0133","0133",2025,9.39999998e-01
"02","038","999","0135","0135",41257,1.90900002e+01
"02","038","999","0137","0137",8359,3.86999989e+00
"02","038","999","0138","0138",50908,2.35599995e+01
"02","039","999","0131","0131",7467,2.99400005e+01
"02","039","999","0132","0132",798,3.20000005e+00
"02","039","999","0133","0133",218,8.70000005e-01
"02","039","999","0135","0135",8429,3.37999992e+01
"02","039","999","0137","0137",647,2.58999991e+00
"02","039","999","0138","0138",7380,2.95900002e+01
"02","040","999","0131","0131",2223,3.44000015e+01
"02","040","999","0132","0132",36,5.60000002e-01
"02","040","999","0133","0133",31,4.79999989e-01
"02","040","999","0135","0135",3205,4.95999985e+01
"02","040","999","0137","0137",62,9.59999979e-01
"02","040","999","0138","0138",905,1.40000000e+01
"02","041","999","0131","0131",4111,3.45699997e+01
"02","041","999","0132","0132",144,1.21000004e+00
"02","041","999","0133","0133",145,1.22000003e+00
"02","041","999","0135","0135",5907,4.96800003e+01
"02","041","999","0137","0137",137,1.14999998e+00
"02","041","999","0138","0138",1447,1.21700001e+01
"02","042","999","0131","0131",4707,3.72500000e+01
"02","042","999","0132","0132",176,1.38999999e+00
"02","042","999","0133","0133",98,7.79999971e-01
"02","042","999","0135","0135",5448,4.31199989e+01
"02","042","999","0137","0137",228,1.79999995e+00
"02","042","999","0138","0138",1978,1.56499996e+01
"02","043","999","0131","0131",571,2.82099991e+01
"02","043","999","0132","0132",41,2.02999997e+00
"02","043","999","0133","0133",7,3.49999994e-01
"02","043","999","0135","0135",982,4.85200005e+01
"02","043","999","0137","0137",34,1.67999995e+00
"02","043","999","0138","0138",389,1.92199993e+01
"02","044","999","0131","0131",2858,3.89399986e+01
"02","044","999","0132","0132",96,1.30999994e+00
"02","044","999","0133","0133",44,6.00000024e-01
"02","044","999","0135","0135",3200,4.35999985e+01
"02","044","999","0137","0137",115,1.57000005e+00
"02","044","999","0138","0138",1027,1.39899998e+01
"02","045","999","0131","0131",3522,3.68600006e+01
"02","045","999","0132","0132",127,1.33000004e+00
"02","045","999","0133","0133",67,6.99999988e-01
"02","045","999","0135","0135",2927,3.06299992e+01
"02","045","999","0137","0137",168,1.75999999e+00
"02","045","999","0138","0138",2745,2.87299995e+01
"02","046","999","0131","0131",573,2.10100002e+01
"02","046","999","0132","0132",31,1.13999999e+00
"02","046","999","0133","0133",18,6.60000026e-01
"02","046","999","0135","0135",1193,4.37500000e+01
"02","046","999","0137","0137",27,9.90000010e-01
"02","046","999","0138","0138",885,3.24500008e+01
"02","047","999","0131","0131",4408,3.45800018e+01
"02","047","999","0132","0132",185,1.45000005e+00
"02","047","999","0133","0133",88,6.89999998e-01
"02","047","999","0135","0135",5043,3.95600014e+01
"02","047","999","0137","0137",306,2.40000010e+00
"02","047","999","0138","0138",2717,2.13099995e+01
"02","048","999","0131","0131",3272,3.99900017e+01
"02","048","999","0132","0132",127,1.54999995e+00
"02","048","999","0133","0133",52,6.39999986e-01
"02","048","999","0135","0135",3292,4.02299995e+01
"02","048","999","0137","0137",106,1.29999995e+00
"02","048","999","0138","0138",1334,1.62999992e+01
"02","049","999","0131","0131",2786,3.68800011e+01
"02","049","999","0132","0132",183,2.42000008e+00
"02","049","999","0133","0133",78,1.02999997e+00
"02","049","999","0135","0135",2697,3.57000008e+01
"02","049","999","0137","0137",213,2.81999993e+00
"02","049","999","0138","0138",1598,2.11499996e+01
"02","050","999","0131","0131",126173,3.22900009e+01
"02","050","999","0132","0132",12812,3.27999997e+00
"02","050","999","0133","0133",3949,1.00999999e+00
"02","050","999","0135","0135",156044,3.99399986e+01
"02","050","999","0137","0137",12953,3.31999993e+00
"02","050","999","0138","0138",78779,2.01599998e+01
"02","051","999","0131","0131",19489,3.83400002e+01
"02","051","999","0132","0132",1083,2.13000011e+00
"02","051","999","0133","0133",592,1.15999997e+00
"02","051","999","0135","0135",15690,3.08700008e+01
"02","051","999","0137","0137",1356,2.67000008e+00
"02","051","999","0138","0138",12624,2.48299999e+01
"02","052","999","0131","0131",85009,3.45099983e+01
"02","052","999","0132","0132",7432,3.01999998e+00
"02","052","999","0133","0133",2214,8.99999976e-01
"02","052","999","0135","0135",80459,3.26599998e+01
"02","052","999","0137","0137",9993,4.05999994e+00
"02","052","999","0138","0138",61227,2.48600006e+01
"02","053","999","0131","0131",63822,3.73199997e+01
"02","053","999","0132","0132",4469,2.60999990e+00
"02","053","999","0133","0133",1431,8.39999974e-01
"02","053","999","0135","0135",51100,2.98799992e+01
"02","053","999","0137","0137",6563,3.83999991e+00
"02","053","999","0138","0138",43636,2.55100002e+01
"02","054","999","0131","0131",3951,3.45699997e+01
"02","054","999","0132","0132",193,1.69000006e+00
"02","054","999","0133","0133",182,1.59000003e+00
"02","054","999","0135","0135",4489,3.92700005e+01
"02","054","999","0137","0137",154,1.35000002e+00
"02","054","999","0138","0138",2461,2.15300007e+01
"02","055","999","0131","0131",3362,1.78600006e+01
"02","055","999","0132","0132",297,1.58000004e+00
"02","055","999","0133","0133",333,1.76999998e+00
"02","055","999","0135","0135",7619,4.04599991e+01
"02","055","999","0137","0137",271,1.44000006e+00
"02","055","999","0138","0138",6947,3.69000015e+01
"02","056","999","0131","0131",3507,4.25499992e+01
"02","056","999","0132","0132",195,2.36999989e+00
"02","056","999","0133","0133",68,8.29999983e-01
"02","056","999","0135","0135",2660,3.22700005e+01
"02","056","999","0137","0137",150,1.82000005e+00
"02","056","999","0138","0138",1662,2.01700001e+01
"02","057","999","0131","0131",2988,4.10000000e+01
"02","057","999","0132","0132",108,1.48000002e+00
"02","057","999","0133","0133",44,6.00000024e-01
"02","057","999","0135","0135",3080,4.22700005e+01
"02","057","999","0137","0137",78,1.07000005e+00
"02","057","999","0138","0138",989,1.35699997e+01
"02","058","999","0131","0131",2112,3.76199989e+01
"02","058","999","0132","0132",61,1.09000003e+00
"02","058","999","0133","0133",47,8.39999974e-01
"02","058","999","0135","0135",2457,4.37700005e+01
"02","058","999","0137","0137",73,1.29999995e+00
"02","058","999","0138","0138",864,1.53900003e+01
"02","059","999","0131","0131",4931,3.78499985e+01
"02","059","999","0132","0132",379,2.91000009e+00
"02","059","999","0133","0133",83,6.39999986e-01
"02","059","999","0135","0135",4346,3.33600006e+01
"02","059","999","0137","0137",342,2.63000011e+00
"02","059","999","0138","0138",2946,2.26100006e+01
"02","060","999","0131","0131",17186,2.89300003e+01
"02","060","999","0132","0132",1702,2.86999989e+00
"02","060","999","0133","0133",1377,2.31999993e+00
"02","060","999","0135","0135",22999,3.87200012e+01
"02","060","999","0137","0137",1415,2.38000011e+00
"02","060","999","0138","0138",14717,2.47800007e+01
"02","061","999","0131","0131",355043,4.81899986e+01
"02","061","999","0132","0132",17858,2.42000008e+00
"02","061","999","0133","0133",7138,9.70000029e-01
"02","061","999","0135","0135",170371,2.31200008e+01
"02","061","999","0137","0137",30099,4.07999992e+00
"02","061","999","0138","0138",156319,2.12199993e+01
"02","062","999","0131","0131",107297,3.72099991e+01
"02","062","999","0132","0132",8634,2.99000001e+00
"02","062","999","0133","0133",2093,7.30000019e-01
"02","062","999","0135","0135",96588,3.35000000e+01
"02","062","999","0137","0137",11979,4.15000010e+00
"02","062","999","0138","0138",61727,2.14099998e+01
"02","063","999","0131","0131",119144,2.98899994e+01
"02","063","999","0132","0132",18494,4.63999987e+00
"02","063","999","0133","0133",3616,9.10000026e-01
"02","063","999","0135","0135",163852,4.11100006e+01
"02","063","999","0137","0137",22939,5.75000000e+00
"02","063","999","0138","0138",70553,1.77000008e+01
"02","064","999","0131","0131",3272,4.45000000e+01
"02","064","999","0132","0132",145,1.97000003e+00
"02","064","999","0133","0133",44,6.00000024e-01
"02","064","999","0135","0135",3026,4.11599998e+01
"02","064","999","0137","0137",109,1.48000002e+00
"02","064","999","0138","0138",756,1.02799997e+01
"02","065","999","0131","0131",5309,3.36699982e+01
"02","065","999","0132","0132",686,4.34999990e+00
"02","065","999","0133","0133",146,9.30000007e-01
"02","065","999","0135","0135",6356,4.03100014e+01
"02","065","999","0137","0137",361,2.28999996e+00
"02","065","999","0138","0138",2911,1.84599991e+01
"02","066","999","0131","0131",4314,3.69300003e+01
"02","066","999","0132","0132",207,1.76999998e+00
"02","066","999","0133","0133",246,2.10999990e+00
"02","066","999","0135","0135",4310,3.69000015e+01
"02","066","999","0137","0137",230,1.97000003e+00
"02","066","999","0138","0138",2374,2.03199997e+01
"02","067","999","0131","0131",9962,3.41300011e+01
"02","067","999","0132","0132",551,1.88999999e+00
"02","067","999","0133","0133",320,1.10000002e+00
"02","067","999","0135","0135",13023,4.46199989e+01
"02","067","999","0137","0137",471,1.61000001e+00
"02","067","999","0138","0138",4862,1.66599998e+01
"02","068","999","0131","0131",3892,3.41199989e+01
"02","068","999","0132","0132",164,1.44000006e+00
"02","068","999","0133","0133",66,5.79999983e-01
"02","068","999","0135","0135",5395,4.72999992e+01
"02","068","999","0137","0137",179,1.57000005e+00
"02","068","999","0138","0138",1711,1.50000000e+01
"02","069","999","0131","0131",7296,3.11200008e+01
"02","069","999","0132","0132",514,2.19000006e+00
"02","069","999","0133","0133",257,1.10000002e+00
"02","069","999","0135","0135",10519,4.48699989e+01
"02","069","999","0137","0137",556,2.36999989e+00
"02","069","999","0138","0138",4303,1.83500004e+01
"02","070","999","0131","0131",162952,4.42599983e+01
"02","070","999","0132","0132",11785,3.20000005e+00
"02","070","999","0133","0133",3114,8.50000024e-01
"02","070","999","0135","0135",105326,2.86100006e+01
"02","070","999","0137","0137",15611,4.23999977e+00
"02","070","999","0138","0138",69404,1.88500004e+01
"02","071","999","0131","0131",17953,2.81000004e+01
"02","071","999","0132","0132",1977,3.08999991e+00
"02","071","999","0133","0133",948,1.48000002e+00
"02","071","999","0135","0135",27378,4.28499985e+01
"02","071","999","0137","0137",1803,2.81999993e+00
"02","071","999","0138","0138",13832,2.16499996e+01
"02","072","999","0131","0131",2802,2.61499996e+01
"02","072","999","0132","0132",227,2.11999989e+00
"02","072","999","0133","0133",84,7.79999971e-01
"02","072","999","0135","0135",4309,4.02099991e+01
"02","072","999","0137","0137",264,2.46000004e+00
"02","072","999","0138","0138",3030,2.82800007e+01
"02","073","999","0131","0131",2027,2.66700001e+01
"02","073","999","0132","0132",147,1.92999995e+00
"02","073","999","0133","0133",68,8.89999986e-01
"02","073","999","0135","0135",3867,5.08699989e+01
"02","073","999","0137","0137",184,2.42000008e+00
"02","073","999","0138","0138",1308,1.72099991e+01
"02","074","999","0131","0131",6746,4.00499992e+01
"02","074","999","0132","0132",332,1.97000003e+00
"02","074","999","0133","0133",149,8.79999995e-01
"02","074","999","0135","0135",6641,3.94199982e+01
"02","074","999","0137","0137",327,1.94000006e+00
"02","074","999","0138","0138",2650,1.57299995e+01
"02","075","999","0131","0131",14044,4.47700005e+01
"02","075","999","0132","0132",630,2.00999999e+00
"02","075","999","0133","0133",286,9.10000026e-01
"02","075","999","0135","0135",6860,2.18700008e+01
"02","075","999","0137","0137",946,3.01999998e+00
"02","075","999","0138","0138",8606,2.74300003e+01
"02","076","999","0131","0131",13881,3.29900017e+01
"02","076","999","0132","0132",793,1.88000000e+00
"02","076","999","0133","0133",459,1.09000003e+00
"02","076","999","0135","0135",16435,3.90600014e+01
"02","076","999","0137","0137",1199,2.84999990e+00
"02","076","999","0138","0138",9308,2.21200008e+01
"02","077","999","0131","0131",137161,4.77099991e+01
"02","077","999","0132","0132",7083,2.46000004e+00
"02","077","999","0133","0133",2717,9.39999998e-01
"02","077","999","0135","0135",58145,2.02199993e+01
"02","077","999","0137","0137",10896,3.78999996e+00
"02","077","999","0138","0138",71515,2.48700008e+01
"02","078","999","0131","0131",4475,3.15100002e+01
"02","078","999","0132","0132",261,1.84000003e+00
"02","078","999","0133","0133",117,8.19999993e-01
