sub_proCodigoProvincia,sub_depCodigoDepartamento,sub_munCodigoMunicipio,sub_mesCodigoCircuito,sub_mesCodigoMesa,sub_mesCodSexo,sub_votparCodigo,sub_parCodigo,ordenPartidos,subVotosPartido
"20","001","003","0003 ","0050","X","0702","3121",3,62
"20","001","003","0003 ","0051","X","0701","3006",1,48
"20","001","003","0003 ","0051","X","0701","3023",2,6
"20","001","003","0003 ","0051","X","0701","3038",3,16
"20","001","003","0003 ","0051","X","0701","3043",4,0
"20","001","003","0003 ","0051","X","0701","3051",5,2
"20","001","003","0003 ","0051","X","0701","3088",6,3
"20","001","003","0003 ","0051","X","0701","3138",7,2
"20","001","003","0003 ","0051","X","0702","3097",1,0
"20","001","003","0003 ","0051","X","0702","3118",2,14
"20","001","003","0003 ","0051","X","0702","3121",3,52
"20","001","003","0003 ","0052","X","0701","3006",1,51
"20","001","003","0003 ","0052","X","0701","3023",2,2
"20","001","003","0003 ","0052","X","0701","3038",3,9
"20","001","003","0003 ","0052","X","0701","3043",4,1
"20","001","003","0003 ","0052","X","0701","3051",5,12
"20","001","003","0003 ","0052","X","0701","3088",6,2
"20","001","003","0003 ","0052","X","0701","3138",7,9
"20","001","003","0003 ","0052","X","0702","3097",1,2
"20","001","003","0003 ","0052","X","0702","3118",2,11
"20","001","003","0003 ","0052","X","0702","3121",3,77
"20","001","003","0003 ","0053","X","0701","3006",1,51
"20","001","003","0003 ","0053","X","0701","3023",2,8
"20","001","003","0003 ","0053","X","0701","3038",3,24
"20","001","003","0003 ","0053","X","0701","3043",4,1
"20","001","003","0003 ","0053","X","0701","3051",5,5
"20","001","003","0003 ","0053","X","0701","3088",6,6
"20","001","003","0003 ","0053","X","0701","3138",7,4
"20","001","003","0003 ","0053","X","0702","3097",1,1
"20","001","003","0003 ","0053","X","0702","3118",2,30
"20","001","003","0003 ","0053","X","0702","3121",3,43
"20","001","003","0003 ","0054","X","0701","3006",1,57
"20","001","003","0003 ","0054","X","0701","3023",2,5
"20","001","003","0003 ","0054","X","0701","3038",3,17
"20","001","003","0003 ","0054","X","0701","3043",4,2
"20","001","003","0003 ","0054","X","0701","3051",5,2
"20","001","003","0003 ","0054","X","0701","3088",6,8
"20","001","003","0003 ","0054","X","0701","3138",7,3
"20","001","003","0003 ","0054","X","0702","3097",1,0
"20","001","003","0003 ","0054","X","0702","3118",2,6
"20","001","003","0003 ","0054","X","0702","3121",3,49
