parCodigo,parSiglas,parDenominacion,parColor
"3018","CAMBIEMOS RIO GALLEGOS                            ","CAMBIEMOS RIO GALLEGOS                                                                              ","26F2F1"
"3019","CAMINO A LA VICTORIA                              ","CAMINO A LA VICTORIA                                                                                ","F9A01F"
"3020","CAPACIDAD Y DEDICACION                            ","CAPACIDAD Y DEDICACION                                                                              ","7B4833"
"3021","COMPARTIR GREGORES                                ","COMPARTIR GREGORES                                                                                  ","994815"
"3022","COMPROMISO POR PUERTO DESEADO                     ","COMPROMISO POR PUERTO DESEADO                                                                       ","E133E1"
"3023","COMPROMISO POR SANTA CRUZ                         ","COMPROMISO POR SANTA CRUZ                                                                           ","E11599"
"3024","CONSTRUYAMOS JUNTOS EN RIO GALLEGOS               ","CONSTRUYAMOS JUNTOS EN RIO GALLEGOS                                                                 ","66E1E1"
"3025","CONSTRUYENDO KOLINA                               ","CONSTRUYENDO KOLINA                                                                                 ","E12015"
"3026","CRECIMIENTO Y PROGRESO                            ","CRECIMIENTO Y PROGRESO                                                                              ","626280"
"3027","CREER ES CREAR                                    ","CREER ES CREAR                                                                                      ","B9B800"
"3028","DESARROLLO PARA CALAFATE                          ","DESARROLLO PARA CALAFATE                                                                            ","15AE00"
"3029","DESARROLLO RIO TURBIO                             ","DESARROLLO RIO TURBIO                                                                               ","662A2A"
"3030","DESEADENSES UNIDOS                                ","DESEADENSES UNIDOS                                                                                  ","15AE66"
"3031","DESEADO VA A VIVIR MEJOR                          ","DESEADO VA A VIVIR MEJOR                                                                            ","E82A2A"
"3032","EL CALAFATE Y VOS                                 ","EL CALAFATE Y VOS                                                                                   ","0CE1DF"
"3033","EL CAMBIO EN CALAFATE                             ","EL CAMBIO EN CALAFATE                                                                               ","664B64"
"3034","EL CAMBIO ES DE TODOS                             ","EL CAMBIO ES DE TODOS                                                                               ","7DF400"
"3035","EL CAMBIO JUSTO                                   ","EL CAMBIO JUSTO                                                                                     ","993F3F"
"3036","EL CAMBIO JUSTO                                   ","EL CAMBIO JUSTO                                                                                     ","E1E133"
"3037","EL CAMBIO JUSTO                                   ","EL CAMBIO JUSTO                                                                                     ","00D5EF"
"3038","EL CAMBIO JUSTO                                   ","EL CAMBIO JUSTO                                                                                     ","094059"
"3039","EL CAMBIO JUSTO                                   ","EL CAMBIO JUSTO                                                                                     ","484B82"
"3040","EL CAMBIO JUSTO                                   ","EL CAMBIO JUSTO                                                                                     ","D61A16"
"3041","EL CAMBIO JUSTO                                   ","EL CAMBIO JUSTO                                                                                     ","D53315"
"3042","EL CAMBIO YA EMPEZO                               ","EL CAMBIO YA EMPEZO                                                                                 ","5454CC"
"3043","EL CAMINO DEL CAMBIO                              ","EL CAMINO DEL CAMBIO                                                                                ","2A662A"
"3044","EL CAMINO DEL CAMBIO                              ","EL CAMINO DEL CAMBIO                                                                                ","1C3F3F"
"3045","EL CAMINO DEL CAMBIO                              ","EL CAMINO DEL CAMBIO                                                                                ","7BE133"
"3046","EMPIEZA EL CAMBIO                                 ","EMPIEZA EL CAMBIO                                                                                   ","339515"
"3047","ENCUENTRO CIUDADANO                               ","ENCUENTRO CIUDADANO                                                                                 ","E13315"
"3048","ENCUENTRO CIUDADANO                               ","ENCUENTRO CIUDADANO                                                                                 ","15C524"
"3049","ENCUENTRO CIUDADANO                               ","ENCUENTRO CIUDADANO                                                                                 ","CC5454"
"3050","ENCUENTRO CIUDADANO                               ","ENCUENTRO CIUDADANO                                                                                 ","156583"
"3051","ENCUENTRO CIUDADANO POR SANTA CRUZ                ","ENCUENTRO CIUDADANO POR SANTA CRUZ                                                                  ","33AE48"
"3052","FIRMES Y DIGNOS                                   ","FIRMES Y DIGNOS                                                                                     ","46474A"
"3053","FORJAR LAS HERAS                                  ","FORJAR LAS HERAS                                                                                    ","335D2A"
"3054","FRENTE DE LA ESPERANZA                            ","FRENTE DE LA ESPERANZA                                                                              ","1D193F"
"3055","FRENTE IZQUIERDA Y LOS TRABAJADORES               ","FRENTE IZQUIERDA Y LOS TRABAJADORES                                                                 ","33EA05"
"3056","FRENTE IZQUIERDA Y LOS TRABAJADORES               ","FRENTE IZQUIERDA Y LOS TRABAJADORES                                                                 ","696900"
"3057","FRENTE IZQUIERDA Y LOS TRABAJADORES               ","FRENTE IZQUIERDA Y LOS TRABAJADORES                                                                 ","5B7A5F"
"3058","FRENTE IZQUIERDA Y LOS TRABAJADORES               ","FRENTE IZQUIERDA Y LOS TRABAJADORES                                                                 ","12F3F3"
"3059","FRENTE IZQUIERDA Y LOS TRABAJADORES               ","FRENTE IZQUIERDA Y LOS TRABAJADORES                                                                 ","922815"
"3060","FRENTE IZQUIERDA Y LOS TRABAJADORES               ","FRENTE IZQUIERDA Y LOS TRABAJADORES                                                                 ","272259"
"3061","FRENTE IZQUIERDA Y LOS TRABAJADORES               ","FRENTE IZQUIERDA Y LOS TRABAJADORES                                                                 ","8A08EE"
"3062","FRENTE IZQUIERDA Y LOS TRABAJADORES               ","FRENTE IZQUIERDA Y LOS TRABAJADORES                                                                 ","FE9EB2"
"3063","FRENTE IZQUIERDA Y LOS TRABAJADORES               ","FRENTE IZQUIERDA Y LOS TRABAJADORES                                                                 ","006969"
"3064","FRENTE IZQUIERDA Y LOS TRABAJADORES               ","FRENTE IZQUIERDA Y LOS TRABAJADORES                                                                 ","154899"
"3065","FRENTE IZQUIERDA Y LOS TRABAJADORES               ","FRENTE IZQUIERDA Y LOS TRABAJADORES                                                                 ","337E7E"
"3066","FRENTE IZQUIERDA Y LOS TRABAJADORES               ","FRENTE IZQUIERDA Y LOS TRABAJADORES                                                                 ","5D60B5"
"3067","GALLEGOS MERECE ESTAR MEJOR                       ","GALLEGOS MERECE ESTAR MEJOR                                                                         ","EECAAA"
"3068","GESTION INTEGRADORA SANTACRUCEÑA                  ","GESTION INTEGRADORA SANTACRUCEÑA                                                                    ","BFDD3E"
"3069","GESTION Y COMPROMISO                              ","GESTION Y COMPROMISO                                                                                ","AE3315"
"3070","IGUALDAD, FUTURO Y COMPROMISO                     ","IGUALDAD, FUTURO Y COMPROMISO                                                                       ","7B7B33"
"3071","JP OKTUBRE                                        ","JP OKTUBRE                                                                                          ","66E148"
"3072","JUNTOS A LA VICTORIA                              ","JUNTOS A LA VICTORIA                                                                                ","567456"
"3073","JUNTOS PARA EL CAMBIO                             ","JUNTOS PARA EL CAMBIO                                                                               ","60C1F9"
"3074","JUNTOS PARA VIVIR MEJOR                           ","JUNTOS PARA VIVIR MEJOR                                                                             ","669393"
"3075","JUNTOS PODEMOS                                    ","JUNTOS PODEMOS                                                                                      ","8AA76F"
"3076","JUNTOS POR EL CAMBIO                              ","JUNTOS POR EL CAMBIO                                                                                ","CC4815"
"3077","JUNTOS POR EL CAMBIO                              ","JUNTOS POR EL CAMBIO                                                                                ","AE667B"
"3078","JUNTOS POR GREGORES                               ","JUNTOS POR GREGORES                                                                                 ","E14833"
"3079","JUNTOS POR UN CAMBIO MEJOR                        ","JUNTOS POR UN CAMBIO MEJOR                                                                          ","332A90"
"3080","JUNTOS QUEREMOS CAMBIAR                           ","JUNTOS QUEREMOS CAMBIAR                                                                             ","08F210"
"3081","JUVENTUD LA FUERZA DE PERITO                      ","JUVENTUD LA FUERZA DE PERITO                                                                        ","31FEEE"
"3082","KOLINA INTEGRACION RIO GALLEGOS                   ","KOLINA INTEGRACION RIO GALLEGOS                                                                     ","024BE6"
"3083","KOLINA TRANSFORMANDO RIO GALLEGOS                 ","KOLINA TRANSFORMANDO RIO GALLEGOS                                                                   ","3E0FE6"
"3084","LA GENERACION DEL CAMBIO                          ","LA GENERACION DEL CAMBIO                                                                            ","2ADAB6"
"3085","LAS HERAS SOMOS TODOS                             ","LAS HERAS SOMOS TODOS                                                                               ","1D4407"
"3086","LEALTAD CON FE                                    ","LEALTAD CON FE                                                                                      ","18821F"
"3087","LEALTAD Y COMPROMISO                              ","LEALTAD Y COMPROMISO                                                                                ","7B6615"
"3088","MEJOR GESTION                                     ","MEJOR GESTION                                                                                       ","905D66"
