vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_forCodigo,ordenPartidos,votVotosFormula,votPorcenVotosFormula
"02","023","999","0145",1,2565,4.74799995e+01
"02","024","999","0131",2,5641,3.89700012e+01
"02","024","999","0132",4,550,3.79999995e+00
"02","024","999","0137",5,387,2.67000008e+00
"02","024","999","0138",3,1889,1.30500002e+01
"02","024","999","0145",1,6009,4.15099983e+01
"02","025","999","0131",2,2854,2.92500000e+01
"02","025","999","0132",4,230,2.35999990e+00
"02","025","999","0137",5,132,1.35000002e+00
"02","025","999","0138",3,939,9.61999989e+00
"02","025","999","0145",1,5603,5.74199982e+01
"02","026","999","0131",2,4178,3.15100002e+01
"02","026","999","0132",4,337,2.53999996e+00
"02","026","999","0137",5,292,2.20000005e+00
"02","026","999","0138",3,1628,1.22799997e+01
"02","026","999","0145",1,6823,5.14599991e+01
"02","027","999","0131",2,6263,1.86700001e+01
"02","027","999","0132",4,956,2.84999990e+00
"02","027","999","0137",5,905,2.70000005e+00
"02","027","999","0138",3,5503,1.63999996e+01
"02","027","999","0145",1,19924,5.93800011e+01
"02","028","999","0131",2,6422,2.78700008e+01
"02","028","999","0132",5,438,1.89999998e+00
"02","028","999","0137",4,498,2.16000009e+00
"02","028","999","0138",3,3332,1.44600000e+01
"02","028","999","0145",1,12355,5.36100006e+01
"02","029","999","0131",2,11852,3.77299995e+01
"02","029","999","0132",5,531,1.69000006e+00
"02","029","999","0137",4,577,1.84000003e+00
"02","029","999","0138",3,3901,1.24200001e+01
"02","029","999","0145",1,14548,4.63199997e+01
"02","030","999","0131",2,6210,2.65100002e+01
"02","030","999","0132",4,503,2.15000010e+00
"02","030","999","0137",5,482,2.05999994e+00
"02","030","999","0138",3,4818,2.05699997e+01
"02","030","999","0145",1,11409,4.87099991e+01
"02","031","999","0131",1,17088,3.91899986e+01
"02","031","999","0132",5,506,1.15999997e+00
"02","031","999","0137",4,940,2.16000009e+00
"02","031","999","0138",3,11888,2.72700005e+01
"02","031","999","0145",2,13177,3.02199993e+01
"02","032","999","0131",2,4239,3.71399994e+01
"02","032","999","0132",5,57,5.00000000e-01
"02","032","999","0137",4,76,6.70000017e-01
"02","032","999","0138",3,1028,9.01000023e+00
"02","032","999","0145",1,6015,5.26899986e+01
"02","033","999","0131",2,4448,2.60599995e+01
"02","033","999","0132",5,169,9.90000010e-01
"02","033","999","0137",4,192,1.12000000e+00
"02","033","999","0138",3,3198,1.87399998e+01
"02","033","999","0145",1,9061,5.30900002e+01
"02","034","999","0131",1,14257,3.88199997e+01
"02","034","999","0132",5,868,2.35999990e+00
"02","034","999","0137",4,2271,6.17999983e+00
"02","034","999","0138",3,6994,1.90499992e+01
"02","034","999","0145",2,12332,3.35800018e+01
"02","035","999","0131",2,42495,3.58400002e+01
"02","035","999","0132",5,2914,2.46000004e+00
"02","035","999","0137",4,5157,4.34999990e+00
"02","035","999","0138",3,24948,2.10400009e+01
"02","035","999","0145",1,43071,3.63199997e+01
"02","036","999","0131",1,63941,4.01300011e+01
"02","036","999","0132",5,3185,2.00000000e+00
"02","036","999","0137",4,6709,4.21000004e+00
"02","036","999","0138",3,30020,1.88400002e+01
"02","036","999","0145",2,55468,3.48100014e+01
"02","037","999","0131",2,5692,3.26699982e+01
"02","037","999","0132",4,397,2.27999997e+00
"02","037","999","0137",5,375,2.15000010e+00
"02","037","999","0138",3,3698,2.12299995e+01
"02","037","999","0145",1,7260,4.16699982e+01
"02","038","999","0131",1,93712,4.71699982e+01
"02","038","999","0132",5,3814,1.91999996e+00
"02","038","999","0137",4,8271,4.15999985e+00
"02","038","999","0138",3,44052,2.21700001e+01
"02","038","999","0145",2,48835,2.45799999e+01
"02","039","999","0131",2,6607,2.79200001e+01
"02","039","999","0132",5,556,2.34999990e+00
